Nome do Candidato;Temática;Proposta
Gabriel Azevedo;Administração Pública;Concluir o passivo do Orçamento Participativo e consolidar o novo formato impositivo do OP, garantindo agilidade na viabilização das obras escolhidas e facilitando o acompanhamento pela população.
Gabriel Azevedo;Administração Pública;Nomear os aprovados no concurso público para fiscalização da prefeitura que ainda não foram convocados.
Gabriel Azevedo;Administração Pública;"Retomar a importância da regionalização da administração pública, transformando as antigas Coordenadorias Regionais em ""Prefeituras Regionais""."
Gabriel Azevedo;Infraestrutura Urbana;Garantir zonas da cidade em que a manutenção de calçadas seja função da prefeitura, e não dos proprietários.
Gabriel Azevedo;Infraestrutura Urbana;Implantar política de substituição gradual da fiação aérea por rede subterrânea.
Gabriel Azevedo;Desenvolvimento Social;Criar uma força-tarefa nas áreas com maior vulnerabilidade econômica e social para melhorar os indicadores que compõem o Índice de Desenvolvimento Humano (IDH).
Gabriel Azevedo;Saúde;Acabar com o papel nos procedimentos e criar um banco de dados inteligente para orientar políticas públicas municipais, evitando problemas existentes no SIGRAH.
Gabriel Azevedo;Saúde;Diminuir a média de espera de consulta especializada de 90 para 45 dias até 2028.
Gabriel Azevedo;Saúde;Zerar a fila atual de 30 mil cirurgias eletivas, com um mutirão na madrugada e parceria com a rede privada.
Gabriel Azevedo;Saúde;Garantir o cumprimento do Passe Livre para pessoas que necessitam de tratamento de saúde.
Gabriel Azevedo;Educação;Implantar sistema de busca ativa contra o abandono e evasão escolar, com cadastro de permanência de aluno.
Gabriel Azevedo;Educação;Oferecer formação ambiental e técnica-tecnológica no contraturno escolar.
Gabriel Azevedo;Educação;Aumentar a transparência e participação com canais de comunicação eficientes entre administração municipal e comunidade escolar.
Gabriel Azevedo;Educação;Estabelecer parcerias para suprir a demanda de vagas nas creches e berçários municipais.
Gabriel Azevedo;Educação;Expandir e garantir acesso ao passe livre estudantil.
Gabriel Azevedo;Educação;Valorizar os professores com reajustes salariais compatíveis com a inflação e recomposição das perdas salariais.
Gabriel Azevedo;Educação;Garantir merenda escolar para crianças nas férias, com atividades integradas.
Gabriel Azevedo;Educação;Investir em programas de capacitação e formação para profissionais da educação, em parceria com a UFMG.
Gabriel Azevedo;Desenvolvimento Econômico;Seguir um plano de desenvolvimento socioeconômico de longo prazo, focado na atração de investimentos em economia verde e inovação.
Gabriel Azevedo;Habitação;Modernizar o Código de Edificações conforme sugestões da Comissão Especial da Câmara Municipal.
Gabriel Azevedo;Habitação;Criar pacote de estímulos a tecnologias mais eficientes para a construção civil.
Gabriel Azevedo;Habitação;Fornecer assistência profissional e material para melhoria das habitações em vilas e favelas.
Gabriel Azevedo;Habitação;"Diversificar modelos de habitação social, não dependendo exclusivamente do ""Minha Casa, Minha Vida""."
Gabriel Azevedo;Fiscalização;Impedir ocupação irregular de áreas públicas, especialmente nas margens dos cursos d'água.
Gabriel Azevedo;Mobilidade Ativa;Ampliar a quantidade de zonas 30 na cidade.
Gabriel Azevedo;Mobilidade Ativa;Garantir ciclovias de material permeável e não apenas pintadas.
Gabriel Azevedo;Mobilidade Ativa;Integrar a rede de ciclovias ao sistema de transporte coletivo e permitir bicicletas nos ônibus 24h/dia.
Gabriel Azevedo;Mobilidade Ativa;Ampliar a rede de ciclovias priorizando a conexão entre vias existentes.
Gabriel Azevedo;Mobilidade Ativa;Ampliar pontos de aluguel de bicicletas compartilhadas, incluindo elétricas.
Gabriel Azevedo;Transporte Público;Garantir financiamento para troca da frota por ônibus elétricos não-poluentes.
Gabriel Azevedo;Transporte Público;Construir corredores de BRT na avenida Amazonas.
Gabriel Azevedo;Segurança;Criar um novo centro de preparação para a Guarda Municipal.
Gabriel Azevedo;Segurança;Implementar propostas para a saúde mental do efetivo da Guarda Municipal.
Gabriel Azevedo;Segurança;Realizar concursos públicos para a Guarda Municipal.
Bruno Engler;Educação;"Construção de novas EMEIs;"
Bruno Engler;Educação;"Mais vagas em tempo integral para o ensino infantil e fundamental;"
Bruno Engler;Educação;"Ampliação da rede parceira de educação infantil;"
Bruno Engler;Educação;"Melhorar a qualidade do ensino na rede municipal;"
Bruno Engler;Educação;"Garantir infraestrutura adequada em todas as escolas de Belo Horizonte, ampliando, também, a parceria público-privada (PPP);"
Bruno Engler;Educação;"Modernizar o ensino com novas tecnologias;"
Bruno Engler;Educação;"Melhorar as condições de trabalho para profissionais da educação;"
Bruno Engler;Educação;"Criar novas parcerias para a implementação do modelo de gestão cívicomilitar em unidades de ensino com maior vulnerabilidade social;"
Bruno Engler;Educação;"Ampliação do número de escolas especiais e melhoria da estrutura das escolas da rede municipal com equipes de profissionais especializados e multidisciplinares para atender alunos com transtorno do espectro autista (TEA) ou com alguma deficiência;"
Bruno Engler;Educação;"Criação de sala sensorial em escolas que tenham alunos matriculados portadores do transtorno do espectro autista (TEA);"
Bruno Engler;Educação;Promoção da segurança no ambiente escolar com guardas municipais nas escolas.
Bruno Engler;Mobilidade Ativa;"Implantação de sistemas de controle de tráfego com o uso de inteligência artificial;"
Bruno Engler;Mobilidade Ativa;"Incentivar o uso de transporte sustentável, como transporte público e veículos elétricos;"
Bruno Engler;Mobilidade Ativa;"Melhorar a cobertura e a frequência das linhas de ônibus, com foco em áreas carentes e integração com outros meios de transporte;"
Bruno Engler;Mobilidade Ativa;"Fiscalizar e aprimorar a gestão dos contratos do transporte coletivo de BH;"
Bruno Engler;Mobilidade Ativa;"Modernizar e melhorar o sistema de monitoramento do transporte coletivo de BH;"
Bruno Engler;Mobilidade Ativa;"Apoiar a construção do Rodoanel a ser realizado pelo Governo do Estado para descongestionar o trânsito de BH;"
Bruno Engler;Mobilidade Ativa;"Cobrar da concessionária Metrô BH o cumprimento do cronograma da construção da Linha 2 do Metrô;"
Bruno Engler;Mobilidade Ativa;"Revisão do Plano Diretor de forma a contemplar um maior aproveitamento urbano e uma maior verticalização da capital;"
Bruno Engler;Mobilidade Ativa;"Liderar o processo de integração da região metropolitana de BH;"
Bruno Engler;Mobilidade Ativa;"Intensificar a manutenção de vias e a requalificação de ruas e avenidas;"
Bruno Engler;Mobilidade Ativa;Ampliar as ações de revitalização do centro da capital, permitindo a reocupação desse importante espaço público com segurança.
Bruno Engler;Saúde;"Integralizar e digitalizar todas as informações do sistema de saúde municipal;"
Bruno Engler;Saúde;"Construção de novas UBSs e UPAs para reduzir a sobrecarga do sistema de saúde e melhorar o acesso;"
Bruno Engler;Saúde;"Melhorar a coordenação da rede, entre UBSs, UPAs e hospitais púbicos e privados;"
Bruno Engler;Saúde;"Implantação do teleatendimento;"
Bruno Engler;Saúde;"Criação de aplicativo que informe, em tempo real, a situação das filas nas unidades de saúde, marcação de consultas, exames, disponibilidade de medicamentos e vacinas;"
Bruno Engler;Saúde;"Descentralização do atendimento especializado para as unidades de saúde de BH;"
Bruno Engler;Saúde;"Fortalecimento da rede hospitalar própria, com foco no aprimoramento da gestão dos hospitais Odilon Behrens e Dr. Célio de Castro;"
Bruno Engler;Saúde;"Fortalecer e estreitar a parceria com os hospitais filantrópicos;"
Bruno Engler;Saúde;"Desenvolver programas e campanhas educacionais em saúde para promover hábitos saudáveis e a prevenção de doenças;"
Bruno Engler;Saúde;"Foco na prevenção de doenças crônicas, com o desenvolvimento de programas específicos para combater a diabetes e a hipertensão;"
Bruno Engler;Saúde;"Implantação de programa de prevenção da pré-eclâmpsia e, por consequência, da eclâmpsia, disponibilizando exames de ultrassom com Doppler, um tipo de exame, da artéria uterina e medicamentos de forma gratuita;"
Bruno Engler;Saúde;Fortalecer os serviços de saúde mental e tratamento de dependência química.
Bruno Engler;Segurança;"Fortalecimento e aprimoramento da Guarda Municipal para a atuação conjunta com outras forças de segurança;"
Bruno Engler;Segurança;"Aumentar o efetivo e melhorar as condições de trabalho da Guarda Municipal;"
Bruno Engler;Segurança;"Criação e ampliação de políticas de prevenção social à criminalidade;"
Bruno Engler;Segurança;"Ampliação e fortalecimento dos programas de enfrentamento à violência contra as mulheres;"
Bruno Engler;Segurança;"Ampliação do videomonitoramento para todas as regiões e principais vias de BH;"
Bruno Engler;Segurança;"Revitalização e melhoramento dos espaços urbanos para aumentar a sensação de segurança;Ampliação da atuação da Guarda Municipal nas escolas da rede municipal, nos postos de saúde e hospitais;"
Bruno Engler;Segurança;"Investir em tecnologia, como sistemas de câmeras de segurança, sensores, drones e análise de dados;"
Bruno Engler;Segurança;"Uso da inteligência artificial para prever e analisar padrões de criminalidade;"
Bruno Engler;Segurança;"Desenvolver parcerias com o setor privado para melhorar a segurança em áreas como centros comerciais e bairros;"
Bruno Engler;Segurança;"Fortalecer programas de segurança comunitária;"
Bruno Engler;Segurança;"Criação de programas de treinamento contínuo para os profissionais de segurança para lidar com novas ameaças e melhorar as técnicas de abordagem e resolução de conflitos;"
Bruno Engler;Segurança;"Implantação da Ronda Ostensiva Municipal (ROMU) da Guarda Municipal;"
Bruno Engler;Segurança;"Ampliação e modernização do arsenal e dos equipamentos para a Guarda Municipal;"
Bruno Engler;Segurança;Ampliação das bases móveis da Guarda Municipal.
Mauro Tramonte;Educação;"Zerar a fila de espera por vagas na educação infantil;"
Mauro Tramonte;Educação;"Ampliar o atendimento em tempo integral, com aumento do horário de funcionamento das escolas e a oferta de mais atividades extracurriculares;"
Mauro Tramonte;Educação;"Contratar mais professores para a rede de ensino municipal;"
Mauro Tramonte;Educação;"Capacitar os profissionais da educação para atender os estudantes com transtornos, especialmente transtorno do espectro do autismo (TEA) e transtorno de déficit de atenção e hiperatividade (TDAH);"
Mauro Tramonte;Educação;"Inserir os estudantes do projeto Educação de Jovens e Adultos (EJA) em cursos profissionalizantes;"
Mauro Tramonte;Educação;"Inserir, ao menos, em cada unidade escolar um psicólogo, um assistente social e um bibliotecário;"
Mauro Tramonte;Educação;"Colocar a patrulha escolar no entorno das instituições para dar segurança à comunidade escolar;"
Mauro Tramonte;Educação;"Implantar programa de intercâmbio para alunos destaques;"
Mauro Tramonte;Educação;"Criar programa para ajudar alunos da rede pública municipal a se preparem para o Enem;"
Mauro Tramonte;Educação;"Implantar programa de saúde nas escolas, com foco em atendimentos odontológicos, oftalmológicos e atenção psicossocial;"
Mauro Tramonte;Educação;Valorização de creches parceiras.
Mauro Tramonte;Mobilidade Ativa;"Implementar um sistema de monitoramento por vídeo, com imagens em tempo real, do transporte coletivo;"
Mauro Tramonte;Mobilidade Ativa;"Modernizar e expandir a rede de transporte público, incluindo novas linhas, veículos e implantar 50 km de vias exclusivas ou prioritárias para o transporte público;"
Mauro Tramonte;Mobilidade Ativa;"Criar faixas exclusivas para motociclistas;"
Mauro Tramonte;Mobilidade Ativa;"Aumentar o número de viagens de ônibus e de abrigos (pontos de ônibus);"
Mauro Tramonte;Mobilidade Ativa;"Garantir a transparência das informações sobre a tarifa e valores pagos pelas empresas;"
Mauro Tramonte;Mobilidade Ativa;"Dialogar com os cidadãos de BH sobre a nova concessão do transporte coletivo;"
Mauro Tramonte;Mobilidade Ativa;"Implementar semáforos inteligentes com sensores e câmeras de monitoramento do fluxo de veículos em tempo real;"
Mauro Tramonte;Mobilidade Ativa;"Desenvolver sistemas de integração entre ônibus, metrô e transporte metropolitano;"
Mauro Tramonte;Mobilidade Ativa;"Apoiar a ampliação do metrô até o Barreiro e a extensão da Linha 1;"
Mauro Tramonte;Mobilidade Ativa;"Trazer, para Belo Horizonte, novos modais de transporte público;"
Mauro Tramonte;Mobilidade Ativa;Aperfeiçoar a infraestrutura para ciclistas e pedestres com ciclovias e calçadas.
Mauro Tramonte;Saúde;"Aumentar horário de funcionamento de centros de saúde próximos às UPAs;"
Mauro Tramonte;Saúde;"Criar o “Zap da Saúde”, sistema de comunicação com o paciente via aplicativo para a confirmação de consultas especializadas e exames médicos;"
Mauro Tramonte;Saúde;"Ampliar parcerias com a rede filantrópica, com a rede privada e faculdades de medicina, para aumentar o número de atendimentos de exames e cirurgias;"
Mauro Tramonte;Saúde;"Equipar o Centro Municipal de Diagnóstico por Imagem com máquinas modernas e mais médicos;"
Mauro Tramonte;Saúde;"Melhorar a estrutura física dos centros de saúde e das UPAs;"
Mauro Tramonte;Saúde;"Criar um sistema que permita que os médicos consultem o histórico do paciente em tempo real e criar protocolos e dicas individualizadas de cuidados com a saúde;"
Mauro Tramonte;Saúde;"Adotar, de forma ampla, o vacimóvel;"
Mauro Tramonte;Saúde;"Expandir a disponibilidade de teleconsultas;"
Mauro Tramonte;Saúde;"Reforçar as equipes de saúde em áreas com maior demanda;"
Mauro Tramonte;Saúde;"Resgatar a capacidade de atendimentos na saúde bucal;"
Mauro Tramonte;Saúde;"Criar mais centros de reabilitação e expandir o atendimento em ortopedia nas UPAs;"
Mauro Tramonte;Saúde;"Ampliar a rede de atendimento em saúde mental e, também, o tratamento de dependência química e álcool;"
Mauro Tramonte;Saúde;Qualificar lideranças da comunidade local para a criação de uma rede de saúde mental em parceria com a prefeitura.
Mauro Tramonte;Segurança;"Criar um grupamento específico na Guarda Civil Municipal para o patrulhamento ostensivo nas principais regiões comerciais da cidade, em cooperação com a Polícia Militar;"
Mauro Tramonte;Segurança;"Nomear 500 novos guardas municipais;"
Mauro Tramonte;Segurança;"Fortalecer o grupamento especializado de proteção às escolas, as patrulhas SUS -- rondas nas unidades de saúde -- e grupamento Maria da Penha;"
Mauro Tramonte;Segurança;"Implementar projeto de repressão à grupos que pratiquem a depredação de edifícios e patrimônio público;"
Mauro Tramonte;Segurança;"Criação de projeto de enfrentamento à desordem do espaço público, com foco na recuperação de equipamentos degradados e no controle de terrenos baldios;"
Mauro Tramonte;Segurança;"Executar projeto para adolescentes que moram em áreas de vulnerabilidade social através de atividades esportivas, culturais e de formação de cidadania;"
Mauro Tramonte;Segurança;Implementar projeto de enfrentamento à violência doméstica.
Duda Salabert;Educação;"Reestabelecer um canal de diálogo com docentes e não docentes sobre plano de carreira e condições de trabalho;"
Duda Salabert;Educação;"Estruturação do plano de formação continuada para orientação e fortalecimento dos professores;"
Duda Salabert;Educação;"Práticas e ações voltadas para a Educação de Jovens Adultos (EJAs);"
Duda Salabert;Educação;"Erradicação do analfabetismo em Belo Horizonte;"
Duda Salabert;Educação;"Criação de polieesportivos em áreas de vulnerabilidade social na capital;"
Duda Salabert;Educação;"Ampliação de vagas em creches e UMEIs, com a criação de novas unidades, especialmente nas periferias;"
Duda Salabert;Educação;"Educação técnica para jovens, em parceria com empresas e instituições de ensino;"
Duda Salabert;Educação;"Requalificação e ampliação dos espaços nas escolas municipais para garantir a acessibilidade para pessoas com deficiência;"
Duda Salabert;Educação;"Desenvolver estratégias para ampliação do número de vagas na educação em tempo integral;"
Duda Salabert;Educação;"Implementar políticas públicas de Educação Ambiental e Climática nas Escolas;"
Duda Salabert;Educação;"Tornar Belo Horizonte um Município Educador Sustentável;"
Duda Salabert;Educação;"Aderir e apoiar a Conferência Nacional Infantojuvenil nas escolas municipais, realizando a conferência municipal Infantojuvenil pelo Meio Ambiente;"
